Date,Close,9-day,21-day,Signal
2024-01-02,190.72000122070312,,,
2024-01-03,189.1300048828125,,,
2024-01-04,189.32000732421875,,,
2024-01-05,189.35000610351562,,,
2024-01-08,187.8699951171875,,,
2024-01-09,187.92999267578125,,,
2024-01-10,187.5,,,
2024-01-11,187.8699951171875,,,
2024-01-12,189.7100067138672,188.82222323947482,,
2024-01-16,187.91000366210938,188.51000128851996,,
2024-01-17,185.83999633789062,188.14444478352866,,
2024-01-18,187.3699951171875,187.92777676052518,,
2024-01-19,187.92999267578125,187.76999749077692,,
2024-01-22,187.22000122070312,187.69777594672308,,
2024-01-23,187.9499969482422,187.6999986436632,,
2024-01-24,186.39999389648438,187.57777574327258,,
2024-01-25,187.13999938964844,187.49666510687933,,
2024-01-26,187.00999450683594,187.19666375054254,,
2024-01-29,188.3300018310547,187.24333021375867,,
2024-01-30,188.58999633789062,187.54888576931424,,
2024-01-31,188.4499969482422,187.66888597276477,188.07333228701637,
2024-02-01,190.41000366210938,187.94444274902344,188.0585704985119,
2024-02-02,188.61000061035156,188.09888712565103,188.03380839029947,BUY
2024-02-05,187.57000732421875,188.0566660563151,187.95047505696616,
2024-02-06,188.5500030517578,188.2955559624566,187.9123796735491,
2024-02-07,188.5,188.44666714138455,187.942379906064,
2024-02-08,188.3300018310547,188.5933346218533,187.96142796107702,
2024-02-09,187.60000610351562,188.51222398546008,187.96619015648253,
2024-02-12,187.11000061035156,188.34778001573352,187.92999994187127,
2024-02-13,184.52999877929688,187.91222466362848,187.68333289736793,
2024-02-14,184.4199981689453,187.24666849772134,187.51714215959822,SELL
2024-02-15,185.66000366210938,186.91889105902777,187.5085710797991,
2024-02-16,186.33999633789062,186.782223171658,187.45952351888022,
2024-02-20,187.47000122070312,186.66222296820746,187.4376191638765,
2024-02-21,187.47999572753906,186.54888916015625,187.4499998546782,
2024-02-22,187.55999755859375,186.4633331298828,187.43142845517113,
2024-02-23,188.6199951171875,186.57666524251303,187.53714279901413,
2024-02-26,188.1999969482422,186.69777594672308,187.58761887323288,
2024-02-27,188.0,187.08333163791232,187.63476199195497,
2024-02-28,188.33999633789062,187.51888699001736,187.63523792085192,
2024-02-29,189.30999755859375,187.9244418674045,187.66952369326637,BUY
2024-03-01,192.88999938964844,188.65221998426648,187.88095238095238,
2024-03-04,196.00999450683594,189.60110812717014,188.14761861165366,
2024-03-05,197.19000244140625,190.67999776204428,188.55619012741815,
2024-03-06,198.80999755859375,191.92999776204428,189.0914277576265,
2024-03-07,199.94000244140625,193.18777635362414,189.63380868094308,
2024-03-08,201.6300048828125,194.67999945746527,190.25904700869606,
